speaker,response
i am,good and how it relates to the calculus of variations
well nno hold on a second im not going to sleep with her,but we need a cryogenic centrifugal pump
can it wait i need to talk to you,just look ive designed the perfect uniforms for our team the colours are based on star trek the original series the three of you will wear support red and i will wear command gold
fine what is it,im making smores i wanted to alert you in case you smelled caramelizing marshmallows and thought a nearby candy factory was on fire
wait a minute are you telling me that sheldonâs patented blend of condescension and no sex isnât enough to hold on to a woman,cluck cluck cluck what are we ladies at a quilting bee or are we men playing a fantasy card game set in a magical frontier town
whatwhat do you want like thai food a burger,i dont know hey look a quarter
of course i do im a princess and this is my tiara,youre right the tiara was too much
you went to the 95 dixietrek oh dude my grandmother had just died and i had to go to her funeral,your meemaw died thats terrible
im your girlfriend thats my job and i know giftgiving puts a lot of pressure on you so whatever you got me you can return,no no after everything you didnt do for me tonight i want you to have it
so what do you say sheldon are we your xmen,no the xmen were named for the x in charles xavier since i am sheldon cooper you will be my cmen
oh thats true its not like we can get in there,why not
sheldon i dont think penny cares about handwritingrecognition based differential,the stars at night are big and bright deep in the heart of texas
well did she see you in the window,no
come on come home with us and tomorrow ill ill take you to legoland,legoland is not the solution to everything and its too much of a scene since that movie came out
buddy i i get that youre worried about me and i i appreciate that but im not going to die,you dont know that
nancy her name is nancy,i think youre just making that up
is your tongue blue,i dont want to talk about it
come on sheldon we can be like marie curie and her husband pierre who spent their days working side by side bathed in the glow of their love and the radium that ultimately kll her screw beauty and the beast thats the love story disney should tell,okay what do we start with maybe splicing some genes clone a sheep perhaps grow a human ear on a mouses back haha im a freak
i was across the street at the doityourself car wash taking a shower,so when will you reopen
so i can sht you with a spitball,youre not going to do that and ill tell you why this is an institution of higher learning i am your professor and youre going to treat me with the prop you sht your spit in my mouth
okay continuing our quest,wwwait theres still four more verses you dont sing a song and not finish it hither page and stand by me if thou knowst it telling yonder peasant who is he where and what his dwelling brightly shone the moon that night though the frost
sure unless something better comes along,do you want me to withdraw my application
surrender then dennys,hello im doctor sheldon cooper and welcome to sheldon cooper presents fun with flags the final episode flagtacular i knew it was coming still scary now im sure youre thinking the final episode who will stand between us and flag ignorance
by moving on do you mean shes going out with other men and you spent the afternoon making fifteenth century soap with wolowitz,that was not fifteenth century soap my god those people need to learn you cant just put ye olde in front of anything and expect to get away with it
now zip me up,oh if we squeeze you any tighter you may turn into a diamond
in what universe,in all of them that is the point
this is a stateoftheart simulator i adapted it from something a friend of mine designed for the army,is that why i appear to be in downtown fallujah behind the wheel of an uparmored humvee
some of us might have the correct answers too,oh please you dont even have a phd
your scan data will be very elpful to my research you have a remarkable brain,i know although ive always hated how my right frontal lobe looks in pictures
mahalos a nice touch,do you know there are only eight consonants in the hawaiian language
yeah hi hi hows it going,uh cant complain thanks for asking well what were you doing out at three oclock in the morning
iâm sorry,thatâs how my father always began our football conversations and if youâd like after the game iâll take you outside and teach you how to sht close enough to a racoon that it craps itself
then who are you talking to babe,penny penny penny penny penny penny penny penny penny penny penny penny penny penny penny penny penny penny penny penny
what if we brought them down with us,well take some funyuns
ugh it was the worst trip everyone got sick over the weekend,sick
why wasnt it a real proposal,he asked her during coitus
so what why do you even care,oh listen to them not even married and the honeymoons over
sheldon my names on that paper too theres no upside to doing this,he just left another comment
well its a fun sweater its got a bold geometric print,is it the geometry that makes it fun
okay shows over,no its not ive got five more slides
get them down,apologize
it means the calibration failed we have to start over,oh very well reinitiating calibration sequence one two three four five six seven eight nine ten eleven its a good thing i didnt send that letter
what are you doing hiding back there,im sneaking into work now if the guard at the university asks whats under the blanket you tell him its some lobster traps
nope,well maybe you should theres lots of books called sherlock holmes and theres no books called officer hernandez
pretty much,well no wonder the women are winning
no im having a moral crisis,well if its of any help ive read all the great moral philosophers including dr seuss
i do i find being cast in the role of bad girl oddly titillating,would you like to see my cats
of course i understand sheldon theres something else ive been wanting to say but before i do i just i want you to know that you dont have to say it back i know youre not ready and i dont want you to say it just because social convention dictates,i love you too
is that like all thumbs are fingers but not all fingers are thumbs,surprisingly yes
okay okay tell you what i am willing to bet anything thats an ordinary field cricket,i cant take your money
okay let me put it this way im doing it,you cant im the lead author
theyre called tattoo sleeves look i bought them online raj got a set too fantastic right put them on have hot sex with some freaky girl with her business pierced take them off and i can still be buried in a jewish cemetery,you know ive always wanted to go to a goth nighclub
okay i realize that,not finished it is because of you that i now have a criminal record and it is because of you that i missed out on having gelato with stan lee
ive been invited to consult on an experiment at your university for a few months isnt that great we could have lunch together we could carpool,you know riding with leonard has gotten a little tedious lately the only car game he ever wants to play is the quiet game and hes terrible at it i always win
look most importantly this will let you move on and study dark matter,it is true that many of my heroes have taken students under their wings feynman einstein professor x humorously in the case of professor x some of his students actually had wings thats rich ill use that one to lighten the mood after my entire class fails the midterm
no jim dont open the door,listen to her jim
wuh i dont ththththats really two different questions uh im not sheldon we have to go,boy youre wound awfully tight for a man who just had sexual intercourse
yes thats what im telling you we are good we are great,all right fence mended problem swept under the rug time to bowl yes i was eavesdropping theres a lot at stake here
sheldon hes got raj use your sleath spell sheldon sheldon,ive got the sword of azeroth
you might want to stand back im sitting on top of 13 horses here,oh hello doggie nice doggie i bet you think you smell hot dogs look a cat
no kidding,yeah julie newmar michelle pfieffer eartha kitt and then her
just let it go sheldon,if i could i would but i cant so i shant now knowing penny the obvious answer is they engaged in coitus but since thats what it looked like we can rule that out lets put on our thinking cap shall we raj is from india a tropical country third world hygiene parasitic infections are common such as pinworms mmhmm the procedure for diagnosing pinworms is to wait until the subject is asleep and the worms crawl out of the rectum for air yes just like that penny could have been inspecting rajs al region for parasites oh boy thats a true blue friend
yes,did you pick up the lowsodium soy sauce from the market
shelly come on your sisters fully dilated and she wants a nice family picture before theres blood everywhere,oh boy i picked the wrong day to wear my good robot tshirt
uh thats a great question zack,no its not
voila,hello puny insects as a consequence of your efforts to circumvent my will everyone is awarded one additional strike
sheldon im your girlfriend and you should have taken my side thats it end of story good night,wow amys mad and leonard was right what a weird day
do you understand why people dont want to play with you,no although its a question ive been pondering since preschool
sheldon if this is too much we can stop,were not stopping
can i give you a ride to the airport,oh no thank you i dont want to be an inconvenience chopchop leonard we leave in ten minutes
um i dont have one,how are you going to take notes without a notebook
im not allergic to latex,well then why dont you wear the rubber gloves i bought for you to do the dishes
shes been here before,the only flaw in an otherwise perfect plan now get my back jack
okay this one is for a cadbury creme egg,oh its not even easter time this is crazy
what i want is for us to be planning our future together,and in that future are we on the same planet because ive seen people make the longdistance thing work
im not in the mood sheldon,oh there you are leonard i know youre upset about recent events and i have someone here to help
lipid what,lipid residue an al autograph a colon calling card if you will
no,well now i just feel silly holding it
oh my god leonard thats incredible,not so fast you might want to hold off on lighting your rabeliechtli penny
what do you mean,how many women have you had dates with
hello,howard im sick
its a,boy that does smell good too bad its monday
we were worried about you,dont be melodramatic im just getting on a train and leaving forever
seriously those shorts with that top,all right
why are you doing this,its by way of an apology for my recent behaviour ive had some time to reflect and ive come to realize that friendship is not an aggregation of written agreements its a result of two people respecting and caring for each other butterscotch scone
okay you know what forget it im not giving you a present,no its too late i see it that elf sticker says to sheldon the die has been cast the moving finger has writ hannibal has crossed the alps
i could think about you,fine whatever works
the cheesecake factory,alright im moving my infantry division augmented by a battalion of orcs from lord of the rings we flank the tennessee volunteers and the north once again wins the battle of gettysburg
the apartment,the entrance to the dungeon is a moss covered door you manage to open it only to find yourself facetoface with a hideous foulsmelling mosscovered ogre what do you do
what,its a biofeedback technique its relaxation through brainwave manipulation i read a paper about it in the journal of american neuroscience it was a little sparsely sourced but i think the basic science is valid i probably have it here somewhere
well what,what does it mean
sheldon you need to talk to alex right away,talk to her thats all youve got with a cool name like sheldon coopers council of ladies i really expected more give me back the tshirts
no thanks im good,really huh okay in that case i will have a smore by myself and then im gonna have smore by myself
theres gonna be a test,tests here its collegeruled i hope thats not too intimidating
no i do not have a sarcasm sign,do you want some cereal im feeling so good today im going to choose from the low fibre end of the shelf hello honey puffs
you sound just like the cable company all right so shh tyra banks is about to kick someone off americas next top model,excuse me penny but were
sure you want to see what all the scientists are wearing this year,look at these men theyve managed to win the top science prize in the world with no more understanding of the quantum underpinnings of the expansion of the early universe than god gave a goose you should pay attention leonard someday this could be you up there
what are you doing,every saturday since we have lived in this apartment i have awakened at 6
good good ill tell you what happens,and people think i dont get sarcasm
whatâs that,i present to you the relationship agreement a binding covenant that in its 31 pages enumerates iterates and codifies the rights and responsibilities of sheldon lee cooper here and after known as the boyfriend and amy farrah fowler here and after known as the girlfriend
sorry,although i could play the completely unrelated and better word extract ethical conundrum avoided thanks brain
the people from people,yeah but exactly who are these people what are their credentials how are they qualified what makes accidentally noticing a hunk of rock thats been traipsing around the solar system for billions of years more noteworthy than any other scientific accomplishment made by someone under thirty
oh well turns out id already met the girl raj is seeing when i did a number on her bathroom and that number was two,well you know ive always been a fan of a story told by attar of nishapur about a king who assembled a group of wise men to create a ring that would make him happy when he was sad and that ring was inscribed with the phrase this too shall pass
what sheldon you cant reprogram people,no you cant reprogram people to james tiberius kirk
why are you telling me about my own culture,you seemed confused
now if youll excuse me i have to take my temperature,are you monitoring your circadian rhythms in order to identify your periods of maximum mental acuity i did that one summer ah youth
oh you know that is so weird that yours came and mine didnt it was a joke yup tip your waitresses im here all week,penny just to save you from further awkwardness know that im perfectly comfortable with the two of us climbing the stairs in silence
well good for you come on in,how shall we begin
penny i really had a terrific time penny,no no no no dont wake her shell maul you like a rabid wolverine
looks like youre doing work in quantum loop corrections,keen observation goodbye
oh whats going on,i started doing it
yes,well get ready to stroll down memory lane penny your check engine
im so glad you understand,no he doesnt understand i understand
later dude,theyre right it was the only option
thats what they said to neil armstrong about the moon,no one said anything of the kind to neil armstrong the entire nation dedicated a decade of effort and treasure to put a man on the moon
we had a really nice swim,oh stop it i assume this medical centres already treated the burns on your bottom from the recent pants fire
dont ask,the entire institution of gift giving makes no sense
oh its no problem its actually kind of nice you reading me reading were like an old married couple,if we were an old married couple the wife would serve iced tea and snickerdoodles
i got whine,i got the b word
good morning sheldon,for shame leonard for shame and to think i was ready to waste the last of my good haemorrhoid cream on you
im not saying hoo now i said hoo last night,and the answer was zack correct
ok now you gotta help me get my arm into the sleeve,ok
yes,and this is a schematic for a birdtrapping device that will ultimately backfire and cause me physical injury
we cant bat him hes just too smart,gentlemen
that was a hard one all right how does the flow rate in a pipe depend on its diameter you dont know do you whats the matter smart guy dont know poiseuilles law,thank goodness i got it now i can quit checking my stool
im sorry to hear that,so was the man who owned the local liquor store he cried and cried
so leonard will we be seeing you on saturday for your free birthday cheesecake,he cant eat cheesecake hes lactose intolerant
i just wanted to do something beautiful,hey look i won
uh sheldon i didnt see your present,thats because i didnt bring one
hey you guys want to go on a real live quest,outside i just made cocoa
sixtyfive,done you understand that moving forward we deal with the fact that my mother does not approve of you
come on lets talk about something other than the surgery,thats a good idea penny did you and leonard ever discuss funeral arrangements
really who do you think did that sheldon,oh i dont know but whoever that mystery man was you should be eternally grateful for without him there would be no leonards day
you get to choose between a mountain bike or a ps3,i knew it ps3 definitely ps3 who would pick a mountain bike
well i dropped your class so i hope youre happy,i told you you werent smart enough to take it
no but i dont have three years to make that gate feel sorry for me,theres a speaker box drive up push the button and lets see what happens
i dont know if i want to play anymore,because you dont have a girlfriend well good lord if that becomes a reason not to play dungeons and dragons this games in serious trouble
not with money read,your warm and funloving nature delights those around you
four months,shes not my girlfriend
i told you theres nothing to worry about,well ive been doing some research and ive learned that one in 700 000 people die from general anaesthesia
my mother is so gonna love her,oh how nice maybe they can carpool when they visit you in federal prison
good night,say it arthur say it say im annoying say it say it im annoying say it
sheldon im so sorry i dragged you through this,its okay it wasnt my first pantsing and it wont be my last
fish nightlights,its a billion dollar idea shhhhh
not great they hired divorce attorneys,you know speaking of attorneys if i ever needed a lawyer i would not hire shehulk
no thats not what he meant,well we may never know as my mother would say the asians are an inscrutable folk now if youll excuse me i have work to do
sheldon dont you dare,theres nothing to worry about your secrets safe with me
yeah i got the same one and thats not a bathing suit its a tan line,hello this is sheldon cooper im leaving a message for barry kripke barry it was pleasant seeing you today in the cafeteria i saw that you purchased the chefs salad pparently you did not know that the chefs salad is kitchen trickery to utilize scrap meat nevertheless i hope you enjoyed it im following up on our pending friendship and i look forward to hearing from you regarding its status sheldon cooper
well i would assume its because sheldon and i stay in touch due to mutual interest and respect while you avoid me due to unresolved childhood issues,its what we think caused your narcissistic personality disorder we discussed it at length during our last video chat although how we got onto the subject of you is baffling
dont be silly hes one of the animals in my departments nicotine addiction study,whats he doing here
well im sure she didnt upset you on purpose besides arent you the one who says theres nothing more important than the advancement of science,no i said theres nothing more important than me advancing science
excuse me the word is polish see small p,ah so it is i guess we both share blame on this one
okay um how about this you know how youre always trying to learn about sarcasm,no
oh gee amy im sorry im actually pretty busy this weekend,probably serving food that was ordered today
maybe we should recalibrate it,all right
now imagine youre holding that pen,okay
im not surprised a well known folk cure for insomnia is to break into your neighbours apartment and clean,sarcasm
what information,i cant tell you that i am bound by closet organizerorganizee confidentiality
yes look up at the sign and remember improv is always about saying yes,all right yes i see a sign it says camarillo state mental hospital
i have a hiphop aerobics class at five could we go after,sure
sure,amy just hurt my feelings i want to break up with her
uh sheldon,excuse me when i come back just for fun the subject will be alternative history specifically how would the civil wr have gone differently if lincoln had been a robot sent from the future look at that theres even pasta left over
sure the more the merrier,wait no thats a false equivalency more does not equal merry if there were 2 000 people in this apartment right now would we be celebrating no wed be suffocating
go sit over there,ill sit over there it looks cleaner
like this i am so happy for you,wow no wonder you didnt get that toothpaste commercial
its just i thought they liked hanging out with me but i guess i was fooling myself,when they were over here did you fail to offer them a beverage cause i can see how that could stick in someones craw
sheldon are we ever going to have an intimate relationship,oh my thats an uncomfortable topic amy before i met you i never had any interest in being intimate with anyone
well so how much is that,about halfway between bruce wayne and scrooge mcduck
im a what,well yyou iim just saying you know at a certain point in a womans menstrual cycle
thank you sheldon that went very well,agreed amy i find myself wondering if we should actually engage in coitus at least one time in our relationship bazinga bedtime please show yourself out
what are you talking about,hes evil he plays evil mind games did he tell you his grandmother died
you dont have to make me anything,no i do youre upset about emily and youre indian i need to make you chai tea now i have all the ingredients except cardamom seeds do you happen to have any on you
sheldon its okay with me that youre not perfect,can i have one more moment with leonard
alright alright how do i get the sword,well have you been to the temple of mithra
wow donkey kong this this was my game when i was a kid,because its a story of a pretty blonde girl tirelessly pursued by a small oddlyshaped man
before we begin your guided meditation close your eyes and picture yourself in a peaceful environment,okay im inside the cern super collider
fifty cents off vagisil,think of me when you apply it
why not,all right let me restate that its very heavy and i dont want to
of course can i have a bite of your burger,absolutely not
ill be right back,so what other celebrity genitalia have you handled
sheldon i want you to take that cap off,that nagging tone is helping my anxiety yeah but if you could maybe just go ten percent less shrill thatd really put the zipadee in my doodah
sheldon what are you doing,its morse code
hang on okay heres what were gonna do chess clock we each get five minutes to talk about our problems well take turns each turn will consist of a statement and a helpful response from the friend begin,i humiliated stephen hawking in a game of words with friends he stopped playing and now were not friends anymore
hey i always did sound effects aa swarm of bloodthirsty bats fly through the dungeon uh uh they attack a nearby unicorn,okay well i have a sound effect for those sound effects
is is that a wefewence to my speech impediment thats pwetty hurtful i i cant contwol it,youre right that was uncalled for i take it back
oh i have an idea,i think i have the same one
yes,swish
can i control the thermostat,no
e,and a funny greek letter
well sorry i let you down,no i do not accept this everything is changing and i hate it it stops now im helping you get back on your feet i would like to purchase this comic book please
no,no
freaking pigs,oh yeah okay now pull your car into the spot and lets get out of here
i donât know he went out for coffee with a girl,oh i guess i was wrong
whats in the bag,i dont want to talk about it but its not a spine ill tell you that
oh yeah sorry about that,my good man dereliction of duty in the face of the enemy is a courtmartial offense
dr cooper,hide me
come on this is silly hey um i brought you back a little present from my trip huh its that sailor cap that you wanted its neat huh,you honestly think you can buy back my friendship with a cheap souvenir
sheldon i already signed the contract i cashed a cheque,mmm you are not going to come out of this looking good
you wrote a paper on my idea,i wrote a paper on our idea
im sorry sheldon,how could he do this to me get back here you stupid bird so i can love you
ive been waiting for someone to have the talk with me,more to the point its about finding a way to keep leonard and stephanie together
look im just saying um penny is one of our many neighbours you know and in our building neighbours come and go its very casual no dress code in fact some mornings ill just mosey down to the third floor in my pyjamas and have cereal with mrs vartabedian,really i have never once been invited to have cereal with mrs vartabedian
yeah but its got lightsabres,yeah please amy its got lightsabres
i know i know look you have a tv in your room why dont you just have breakfast in bed,because i am neither an invalid nor a woman celebrating mothers day
hey i buzzed in,but i answered its called teamwork
sheldon your fights with leonard pennys got nothing to do,careful amy the friend of my enemys girlfriend is my enemy
why should we leave for all we know he crashed the party and penny doesnt even want him here,you have a backup hypothesis
sheldon if you really need to do this im not gonna stand in your way,i do
off a cwiff,my credibility may have been damaged
im leaving,you cant leave i need you
no i always shout holy moly dont know why just do,all right that concludes the getting to know you portion of the evening whos ready to play some vintage video games and tonights selections include colecovisions smurf rescue in gargamels castle ataris cookie monster munch and for you text adventure aficionados zork pick me pick me im fun
you know if you want it to mean youre crushing wesley itd be the wesley crushers,do you people even hear yourselves its not the wesley crushers its not the wesley crushers its the wesley crushers
tough break you want eggs,you dont get it leonard im going to miss so much the unified field theory cold fusion the dogapus
why dont you just admit you overreacted,no thank you sees insect more appear and swarm all over him he jumps out of a daydream on his own couch jumps up and runs out to pennys apartment
okay sheldon im going to say why and your answer cannot be because i forgot my flash drive,you dont understand my flash drive has my paper on astrophysical probes of mtheory effects in the early universe that i was going to give to george smoot at the conference
oh all right playtimes over lets open this baby up,wont that void the warranty
im odd all the time everyone knows that just last night i tried to see how many fava beans i could fit in my mouth,tell me the truth
if i told you to jump off the bridge of the enterprise would you do it,no if i got on the bridge of the enterprise i would never ever leave
yes,leonard wait
well get to see all the new stuff before it hits the shelves,and well get to have fun interactions with our customers like this isnt a library buy it or get out
well thats what youd love isnt it,more than anything
hey raj wanna see a new magic trick ive been working on,howard if i may interject here with a piece of friendly advice is working on magic tricks really how you want to spend your time granted youre just an engineer but that doesnt mean you might not someday build a geegaw or a thingamabob that may get you a thank you in someone elses nobel prize acceptance speech
im smart enough sheldon asking me a bunch of questions about a topic im not familiar with doesnt prove anything i could do the same to you,yeah try me
with dungeons and dragons dice,yes from here on in ive decided to make all trivial decisions with a throw of the dice thus freeing up my mind to do what it does best enlighten and amaze page 14 item seven
sheldon take it easy,you take it easy i need to use your shower
you know this might work out for the best i mean youre always complaining about what a terrible roommate leonard is like how he turns up the thermostat when youre not there,ugh its like walking into the amazon and not the good amazon with oneday shipping the awful one with birds and snakes
what are you talking about,you asked penny if she wanted to hear something weird
thank you sheldon,kind of like when firefly was cancelled but not as big
star trek dvds why would i want this,first of all youre welcome and furthermore not being familiar with wil wheatons body of work there was no way for you to know you were being rude to a national treasure get ready for 130 hours of i told you so fine ill just tell you what happens episode one encounter at farpoint fade in the new enterprise heads out on its maiden voyage to contact the bandi people of deneb iv enter wesley crusher played by my buddy shes hooked
my mother said thats how good girls do it,perhaps this was a waste of time
sheldon what are you doing,playing super mario on a poorly coded nintendo 64 emulator
since when dont you knock its like the only good thing about you,social niceties have been suspended leonard were in a state of a emergency the world has descended into darkened turmoil lawlessness and savagery are the order of the day
noone,i dont come into your house and touch your board
okay can you please order a cocktail i need to practice mixing drinks,fine ill have a virgin cuba libre
think about this the only way your mother was born was your meemaw had sex,i dont want to hear this
meme theory suggests that items of gossip are like living things that seek to reproduce using humans as their host,im no stranger to memetic epidemiology at johnson elementary school the phrase shelly coopers a smelly pooper spread like wildfire
let me ask you something bernie,i guess not
sorry dr cooper i forgot you have a touch phobia,its not a touch phobia its a germ phobia if youd like to go put on a pair of latex gloves
all right sheldon just ask your question,okay i just did what was it
aha okay lets see to continue on your quest leave no stone unturned ooh,the next clue must be hidden under one of these rocks
freaky,freaky
okay where is this coming from,leonard is upstairs right now with my arch enemy
look i know they have money i dont think its that much,no youre wrong see as you know a few years ago i achieved one of my lesser dreams and became a notary public well from time to time i notarize banking documents for raj the koothrappalis arent just rich theyre richie rich rich
no,good i dont deserve cookies come in wil
they sell out incredibly fast but as long as one of us gets in we can buy passes,good lord this is not the time for flirting keep it in your pants
it is on,but the turnbyturn voice option isnt on i know id feel more safe if you turn on the turnbyturn voice option i love the turnbyturn voice option
yeah,okay
any other questions,doctor sheldon cooper here i am the lead author of this particular paper thank you and you sir you have completely skipped over the part where i was walking through the park and i saw these children on a merrygoround which started me thinking about the moment of inertia in gasses like helium at temperatures approaching absolute zero
yeah thanks but i kind of feel like eating alone tonight so,are you sure with your italian pizza and my chinese noodles we could play marco polo i mean of course a reenactment of a meal in the life of marco polo the venetian explorer not marco polo the terrifying water sport
do you have any ideas,yes but they all involve a green lantern and a power ring
can you get the butter please,you know however with the xbox one i can control my entire entertainment system using voice commands up until now ive had to use leonard
no thanks,fine good night to you sir miss
whats up,it just occurred to me that i never formally congratulated you on your pending nuptials so i hopped on the first bus and hightailed it down here to shake your hand put er there you old soandso
sorry,were you distracted by the possibility that koothrappali might have intercourse with penny tonight
you know they have a really nice bar over at the olive garden,i dont like the olive garden they treat me like family
fine just get back under your blanket and ill drive you there,and no more singing
what about damsel in distress,twelfth century code of chivalry not exactly current youd also have to be knighted for that to apply
no it isnt,yes it is
okay okay you know i get it leonard has no business being involved with a waitress slash actress who felt so insecure that she lied to him about finishing community college,why would you lie about that
oh hell with nebraska im gonna be a star,have you ever thought of teaching physics
its not so bad really at least these trains have modern plumbing in india you squat over a hole in the train and expose your naked buttocks to the chilly air of rajasthan,he is referring of course to third class on indian railways magnificent ranakpur express and its twelve hundred kilometer journey from maharashtra to the bikaner junction
what about that sweater,no its not good enough it has to be perfect
no no no lets just all finish our dinners okay,this is an interesting topic how many sexual encounters have you had
do you want the last dumpling sheldon,certainly its not like i have to moderate my food intake because im planning on eating again very shortly mm mm mm
iâm not telling iâm from asia iâm mysterious deal with it,howard are you having a make your own sundae bar
someones in the kitchen with dinah sheldon sheldon,cause i sold my soul to the company store
hey look they named their team after me,no its not the never mind
hey,oh good youre home i need you to do me a favour
okay lets get clear on something were just going to tell this guy to transfer all of your stuff back into your account and then be on our way no ones batlething anybody,so my blade shall not taste blood tonight
ill help you,thank you lift with your knees not your back good night
why would they lie to us,thats a good question amy and bernadette amy and bernadette amy and bernadette why did you lie to us
so what why do you even care,oh listen to them not even married and the honeymoons over
doesnt matter,but now but in my defence
come on we said we were sorry,its going to take more than im sorry and a storebought apology pie from penny to make up for what youve done to me
okay how about this even spock had a date once every seven years,he didnt date it was pon farr his blood boiled with mating lust
yeah,how
its green,we did it oh if its this much fun to rotate imagine when we fly it
i gave it to him three days ago he was really impressed he wants to meet you,all right then thank you howard please let professor hawking know that im available at his earliest convenience
yeah i know a little something about that,oh nonsense wil your endless tweets are not that bad
please were eating can we get that off the table and change the subject,can we stand back while i turn this conversation into a conversensation
okay what did amy tell you,oh very well i cant keep up this clever charade any longer she told me that you were thinking of ending it with leonard
i dont think were going to do that,well then apparently you hate fun
no it is not yours we all went in on the box together,well yes but i found it in the box and the laws of maritime salvage clearly state that the finder of a sunken treasure is the owner of the treasure
sheldon wake up,danger danger
what,ive been doing some research online and apparently female primates you know uh apes chimpanzees you they find their mate more desirable when hes being courted by another female now this effect is intensified when the rival female is secreting the pheromones associated with ovulation which brings me back to my question where are you in clearly im 14 days too early
well i was thinking about sheldonâs little joke the other night about me eating all your food,oh that was no joke but i understand your confusion as i am our groupâs resident cutup
no of course not how did you know about that,i did a comprehensive background check medical records credit reports criminal history i trust you paid off those parking tickets
hmm youre up late,oh im working on my lesson plan for wolowitz he is going to be so lost look at this section over here even i dont really understand it
aw,my shirt is itchy and i wish i were dead
why are you sitting in the stairwell,leonard told me to stay
how dare you aishwarya rai is a goddess by comparison madhuri dixit is a leprous prostitute,sorry i didnt mean to offend you obviously youre not that familiar with indian cinema
no reason oh you know what maybe this isnt such a good idea,oh no no no well now theres always the possibility that alcohol and poor judgement on her part might lead to a nice romantic evening
how would i be blinded,at the end of the ceremony all the students throw those pointy hats in the air its all pomp and circumstance until someone loses an eye
um uh uh uh we dont have an appointment and and we dont belong here but we were like crazybig fans i mean uh buh buh crazy for star wars crazy not crazy like we have a backpack full of duct tape although we do have a backpack that you really dont want to look in,youre blowing it we want to meet george lucas and become his friends and play with him
aw see yeah you probably shouldnt have done that so write another email set the record straight its no big deal,youre right leonard its not a big deal all you did was lie to me destroy my dream and humiliate me in front of the whole university that fyi was sarcasm i in fact believe it is a big deal
and this is dr gn from stockholm,ah sweden yeah home of my favourite muppet and uh second favourite meatball okay the nordic reputation for lack of humour is wellfounded boy is his name gn or nofunderson
i i didnt think it was a big deal,it is to me thats the point
bernie,if it makes you feel any better amy and i are fine i mean really good
something got you down there bunky,howard please im begging you
no,im not surprised
sheldon we have to get out of here,you might want to speak in a lower register
oh yes he says they are lost without you,well we sure saw that coming
howards right thatll never work,stop fighting me on the premise its scientifically valid im going to advance propositions i just want you to challenge me
oh for gods sake sheldon,focus is important was michael debakey a wedding planner in between heart transplants did alexander fleming moonlight as a hairdresser thanks for discovering penicillin now how about we try a bouffant
ahwimoweh ahwimoweh,bring it home mufasa eee eee eee eee eee um umaweh
sheldon at this point i would go by myself before i would take you,really
im sorry what was i thinking,uh just out of curiosity why didnt you ask leonard for advice about this
what,oh of course it only works on the weakminded
thank you,i reject them all
have you thought about putting him in a crate while youre out of the apartment,hello kripke yes sheldon cooper here it occurred to me you hadnt returned any of my calls because i hadnt offered any concrete suggestions for pursuing our friendship perhaps the two of us might share a meal together i see well then perhaps youd have time for a hot beverage popular choices include tea coffee cocoa i see no no no wait dont hang up yet what about a recreational activity i bet we share some common interests tell me an interest of yours really on actual horses tell me another interest of yours oh no im sorry i have no desire to get in the water until i absolutely have to tell me another interest of yours
im packing up all my collectibles and taking them down to the comic book store to sell,well is that really necessary if you need money you can always sell blood and semen
okay glasses off find waldo,hurry up find him find him
uh i dont know could put a tennis ball on the end of excalibur make a pretty badass cane,do you supply the the tennis ball
thats it that wasnt so bad,no it wasnt uh now lets tabulate the results of the experiment i think its safe to say that youre not in love with me and im not in love with you and psychology has once again proved itself the doofus of the sciences
im relieved that you dont have a problem with us working together,not as relieved as im about to be its a brave new world little lady
ill take it,good now i assume were splitting the cheque
no i mean why are you going to so much trouble to prove that youre smarter than wolowitz,oh its no trouble its actually a pleasure
whos adam west,whos adam west leonard what do the two of you talk about after the coitus
oh thats too bad i wonder what happened,mm its hard to say i can only speculate based on the data i collected watching my parents marriage implode in that case the woman dives into religion while the man dives into a bottleblonde bartender who tries to buy my love with action figures oop out of arrows
oh you are aware that your ritualistic knocking behaviour is symptomatic of obsessive compulsive disorder,is not is not is not
whats the big deal,oh of course its no big deal to you you idolize me and nothing could ever knock me off that pedestal you put me on
i wonder how long sheldons got,these shrimp are all the same size theres no the logical order to eat them in
what,i said good day
yes for you i do however have a few conditions first at all times i am to be treated as a colleague and an equal second my contributions shall be noted in all published material and third you are never allowed to lecture me on hinduism or my indian culture,im impressed raj those are very cogent and reasonable conditions
is that why they sent you to boarding school,no that was the result of my work with lasers
wait how can how can anyone ruin raiders its perfect,yeah except for the fact that indiana jones is completely irrelevant to the story with or without him the nzi find the ark open it and die
sheldon what if he gets his internet from his cable company he could lose his hbo and all their delightful original programming,i dont care im losin it man
now that im actually about to go out with penny im not excited im nauseous,ah then your meal choice is appropriate starch absorbs fluid which reduces the amount of vomit available for violent expulsion
come on sheldon you and me right here,penny for the thousandth time im saving myself for someone special perhaps a cute bespectacled neuroscientist with hair the color of mud
okay you know what im gonna come at this in a whole new way sheldon if you try to make a baby with amy in a petri dish im gonna tell your mother on you,thats no threat my mothers always wanted a grandchild
twice a month,then no
to the north pole,yes
come on i touched one onion ring,and then you put it back compromising the integrity of all the other onion rings
oh hey buddy,buddy
